STT,SO_DANG_KY,TEN_THUOC,"MA_HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Số đăng ký)",MA_DUONG_DUNG,DUONG_DUNG,HAM_LUONG,DONG_GOI,HANG_SX,NUOC_SX
1,VD-14279-11,Acemetacin 60 mg,40.26,Acemetacin,Acemetacin ,1.01,Uống,60 mg,hộp 5 vỉ x 10 viên nang,Công ty cổ phần Dược phẩm Euvipharm,Việt Nam
2,VN-8301-09,Acesyn synmosa 60mg,40.26,Acemetacin,Acemetacin,1.01,Uống,60mg,Hộp 10 vỉ x 10 viên nang,Synmosa Biopharma Corporation,Taiwan
3,VD-15159-11,Allergex,40.77,Acrivastin,Acrivastin,1.01,Uống,8 mg,Hộp 5 vỉ x 10 viên nang,Công ty cổ phần Dược phẩm OPV,Việt Nam
4,VD-6829-09,Opecrivas,40.77,Acrivastin,Acrivastin,1.01,Uống,8mg,Hộp 5 vỉ x 10 viên nang,Công ty cổ phần Dược phẩm OPV,Việt Nam
5,VD-26969-17,Allergex,40.77,"Acrivastin
",Acrivastin 8mg,1.01,Uống,8mg,Hộp 5 vỉ x 10 viên,Công ty Cổ phần Dược phẩm OPV,Việt Nam
6,VN-5363-10,"Diaphyllin Venosum 4,8% ",40.97,Bretylium tosilat,Aminophylin            ,2.10,Tiêm,240 mg,Hộp 5 ống x 5 ml,Gedeon Richter Plc,Hungary
7,VD-11363-10,Methionin 250mg,40.102,DL- methionin,Methionin,1.01,Uống,250 mg,"Chai 100 viên, chai 200 viên, chai 500 viên; Hộp 10 vỉ x 10 viên, hộp 20 vỉ x 10 viên, hộp 50 vỉ x 10 viên nang",Công ty TNHH SX-TM dược phẩm Thành Nam,Việt Nam
8,VD-13784-11,Methionin 250 mg,40.102,DL- methionin,DL-Methionin,1.01,Uống,250 mg,Chai 100 viên nang cứng (cam-vàng),Công ty cổ phần dược phẩm Cửu Long,Việt Nam
9,VD-13785-11,Methionin 250 mg,40.102,DL- methionin,DL-Methionin,1.01,Uống,250 mg,Chai 100 viên nang cứng (Cam-xanh biển),Công ty cổ phần dược phẩm Cửu Long,Việt Nam
10,VD-13786-11,Methionin 250 mg,40.102,DL- methionin,DL-Methionin,1.01,Uống,250 mg,Chai 100 viên nang cứng (nâu đỏ-hồng),Công ty cổ phần dược phẩm Cửu Long,Việt Nam
11,VD-13787-11,Methionin 250 mg,40.102,DL- methionin,DL-Methionin,1.01,Uống,250 mg,Chai 100 viên nang cứng (nâu-nân),Công ty cổ phần dược phẩm Cửu Long,Việt Nam
12,VD-14271-11,Methionin 250 mg,40.102,DL- methionin,DL Methionin,1.01,Uống,250 mg,Chai 100 viên nang cứng (xanh lá-cam),Công ty cổ phần dược phẩm Cửu Long,Việt Nam
13,VD-14690-11,Methionin Boston,40.102,DL- methionin,Methionin,1.01,Uống,250 mg,"Hộp 10 vỉ x 10 viên, hộp 1 chai x 100 viên, hộp 1 chai x 200 viên, hộp 1 chai x 500 viên nang",Công ty Cổ phần Dược phẩm Bos Ton Việt Nam,Việt Nam
14,VD-14939-11,Methionin,40.102,DL- methionin,Methionin,1.01,Uống,250 mg,Lọ 100 viên nang,Công ty cổ phần dược phẩm Bidiphar 1,Việt Nam
15,VD-17374-12,Methionin,40.102,DL- methionin,Methionin,1.01,Uống,250mg,hộp 1 chai 100 viên,Công ty cổ phần Dược phẩm 3/2,Việt Nam
16,VD-20954-14,Methionine 250mg,40.102,DL- methionin,DL-Methionin,1.01,Uống,250mg,Chai 100 viên,Công ty cổ phần hoá - dược phẩm Mekophar,Việt Nam
17,VD-22340-15,Methionin 250 mg,40.102,DL- methionin,Methionin,1.01,Uống,250 mg,Hộp 10 vỉ x 10 vien. Chai 100 viên,Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
18,VD-7408-09,Methionin 250mg,40.102,DL- methionin,Methionin,1.01,Uống,250mg,Chai 100 viên nang,Công ty Cổ phần Dược Đồng Nai,Việt Nam
19,VD-7852-09,Methionin 250mg,40.102,DL- methionin,Methionin,1.01,Uống,250mg,Chai nhựa 100 viên nang,Công ty Cổ phần Dược Becamex,Việt Nam
20,VD-8398-09,Methionin 250mg,40.102,DL- methionin,Methionin,1.01,Uống,250mg,Chai 100 viên nang cứng (cam-cam),Công ty Cổ phần Dược Becamex,Việt Nam
21,VD-8399-09,Methionin 250mg,40.102,DL- methionin,Methionin,1.01,Uống,250mg,Chai 100 viên nang cứng (vàng-vàng),Công ty Cổ phần Dược Becamex,Việt Nam
22,VD-8400-09,Methionin 250mg,40.102,DL- methionin,Methionin,1.01,Uống,250mg,Chai 100 viên nang cứng (xanh-xanh),Công ty Cổ phần Dược Becamex,Việt Nam
23,VD-9268-09,Hepathin,40.102,DL- methionin,Methionin,1.01,Uống,250mg,Hộp 1 chai x 100 viên nang,Công ty cổ phần Dược Hậu Giang,Việt Nam
24,VD-24080-16,Methionin 250mg,40.102,DL- methionin,Methionin,1.01,Uống,250mg,Chai 100 viên,Công ty Cổ phần Dược Becamex,Việt Nam
25,VD-25430-16,Methionin 250 mg,40.102,DL- methionin,DL-Methionin,1.01,Uống,250mg,Hộp 10 vỉ x 10 viên; chai 100 viên,Công ty cổ phần xuất nhập khẩu y tế Domesco,Việt Nam
26,VD-15053-11,Valmagol,40.140,Valproat magnesi,Magnesi valproat,1.01,Uống,200 mg,Hộp 6 vỉ x 10 viên nén bao phim tan trong ruột,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
27,VN-20707-17,Promag,40.140,"Valproat magnesi
",Magnesi Valproat 200mg,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên,"Myung-In Pharm. Co., Ltd.",Korea
28,VD-12560-10,Trangala-A,40.209,Cloramphenicol + dexamethason,"Dexamethason acetat, Cloramphenicol",3.05,Dùng ngoài,"0,05g; 2g",Hộp 1 lọ x 8 g kem bôi ngoài da,Công ty Cổ phần Thương mại Dược phẩm Quang Minh,Việt Nam
29,VD-12727-10,Cortisotra,40.209,Cloramphenicol + dexamethason,Dexamethason acetat; Cloramphenicol,3.05,Dùng ngoài,4 mg; 160 mg,Lọ 8g thuốc kem,Công ty cổ phần Dược  S. Pharm,Việt Nam
30,VD-13247-10,Sotra-Geta,40.209,Cloramphenicol + dexamethason,Dexamethason acetat; Cloramphenicol,3.05,Dùng ngoài,4 mg; 160 mg,Lọ 8g thuốc kem,Công ty cổ phần Dược  S. Pharm,Việt Nam
31,VD-15377-11,Corbicream,40.209,"Cloramphenicol
+ dexamethason",Dexamethason acetat; Cloramphenicol,3.05,Dùng ngoài,4 mg; 160 mg,Hộp 1 lọ x 8g kem bôi da,Công ty cổ phần dược phẩm Bidiphar 1,Việt Nam
32,VD-19174-13,Tranlacol,40.209,Cloramphenicol + dexamethason,Dexamethason acetat; Cloramphenicol,3.05,Dùng ngoài,4 mg; 160 mg,Hộp 1 lọ,Công ty TNHH Dược phẩm Detapham.,Việt Nam
33,VD-6553-08,Cortibion,40.209,Cloramphenicol + dexamethason,"Dexamethason acetat, Cloramphenicol",3.05,Dùng ngoài,"0,004g; 0,16g",Hộp 1 lọ 8g kem thoa da,Công ty Roussel Việt Nam,Việt Nam
34,VD-8345-09,Cotilisol,40.209,Cloramphenicol + dexamethason,"Dexamethason acetat, Cloramphenicol",3.05,Dùng ngoài,"0,05g; 2 g",hộp 1 lọ 8 gam kem bôi da,Công ty TNHH sản xuất thương mại dược phẩm NIC (NIC Pharma),Việt Nam
35,VD-8437-09,Korcin,40.209,Cloramphenicol + dexamethason,Dexamethason acetat; Cloramphenicol,3.05,Dùng ngoài,4 mg; 160 mg,Hộp 1 chai 8g kem bôi da,Công ty cổ phần Dược Hậu Giang,Việt Nam
36,VD-22536-15,Dexinacol,40.209,Cloramphenicol + dexamethason,Dexamethason natri phosphat; Cloramphenicol ,6.01,Nhỏ mắt,5mg; 20mg,Hộp 1 lọ 5ml,Công ty cổ phần dược phẩm trung ương VIDIPHA,Việt Nam
37,VD-15744-11,Otifar,40.209,Cloramphenicol + dexamethason,Cloramphenicol; Dexamethason acetat ,6.04,Nhỏ tai,80mg; 4mg,hộp 1 lọ 8 ml dung dịch nhỏ tai,Công ty CP dược phẩm dược liệu Pharmedic,Việt Nam
38,VD-25882-16,Phecoldrop D,40.209,"Cloramphenicol
+ dexamethason",Chloramphenicol; Dexamethason phosphat,6.01,Dung dịch nhỏ mắt,20mg; 5mg,Hộp 1 chai x 5ml,Công ty cổ phần hoá - dược phẩm Mekophar,Việt Nam
39,VD-27838-17,Cortebois,40.209,"Cloramphenicol
+ dexamethason
","Mỗi chai 8g chứa: Dexamethason acetat (tương đương với 3,6 mg dexamethason) 4 mg; Cloramphenicol 160 mg",3.05,Dùng ngoài,"4 mg, 160 mg",Hộp 1 chai 8g,Công ty cổ phần dược phẩm Cửu Long,Việt Nam
40,VD-28212-17,Titimex,40.209,"Cloramphenicol
+ dexamethason
",Cloramphenicol 20mg; Dexamethason natri phosphat 5mg,6.01,Nhỏ mắt,"20mg, 5mg",Hộp 1 lọ 5ml,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
41,VD-15972-11,Ticoldex,40.209,Cloramphenicol + dexamethason,Chloramphenicol; Dexamethason natri phosphat ,6.03,Thuốc mắt,20mg; 5mg,Hộp 1 lọ 5ml thuốc nhỏ mắt,Công ty cổ phần dược Danapha,Việt Nam
42,VD-8108-09,Dexinacol,40.209,Cloramphenicol + dexamethason,Chloramphenicol; Dexamethason natri phosphat ,6.03,Thuốc mắt,20mg; 5mg,"Hộp 1 chai 5ml, thuốc nhỏ mắt",Công ty cổ phần dược phẩm trung ương Vidipha,Việt Nam
43,VD-16492-12,Dexacol,40.209,Cloramphenicol + dexamethason,Dexamethason natri phosphat; Cloramphenicol ,6.03,Thuốc mắt,5mg; 20mg,hộp 1 chai 5 ml dung dịch nhỏ mắt,Công ty cổ phần Dược phẩm 3/2..,Việt Nam
44,VD-19571-13,Acnequidt,40.214,Metronidazol + clindamycin,Clindamycin (dưới dạng Clindamycin hydroclorid); Metronidazol,3.05,Dùng ngoài,200mg; 160mg,hộp 1 lọ 20 ml,Công ty cổ phần Hoá dược Việt Nam,Việt Nam
45,VN-16733-13,Acneal,40.214,Metronidazol + clindamycin,Clindamycin (dưới dạng Clindamycin hydrochloride); Metronidazole,3.05,Dùng ngoài,200mg; 160mg,Hộp 1 lọ 20ml,"Dihon Pharmaceutical Group Co., Ltd",China
46,VD-28432-17,Dermabion,40.214,"Metronidazol + clindamycin
",Mỗi 10 g kem chứa: Dexamethason acetat 5 mg; Clindamycin (dưới dạng Clindamycin phosphat) 100 mg,3.02,Xoa ngoài,"5 mg, 100 mg",Hộp 1 tuýp 10 g; Hộp 1 lọ 8 g,Công ty Roussel Việt Nam,Việt Nam
47,VD-17452-12,Trimeseptol-Ery,40.222,Erythromycin + sulfamethoxazol + trimethoprim,Erythromycin ethyl succinat; Sulfamethoxazol; Trimethoprim,1.01,Uống,125 mg; 200 mg; 40 mg,"Hộp 25 gói x 2,5g thuốc bột pha hỗn dịch uống",Công ty cổ phần dược phẩm Hà Tây,Việt Nam
48,VD-6379-08,Erycotrim,40.222,Erythromycin + sulfamethoxazol + trimethoprim,Erythromycin base; Sulfamethoxazol; Trimethoprim,1.01,Uống,125mg; 200mg; 40mg,Hộp 25 gói x 3g thuốc bột pha hỗn dịch uống,Công ty cổ phần dược và vật tư y tế Bình Thuận,Việt Nam
49,VD-8862-09,E-Xazol,40.222,Erythromycin + sulfamethoxazol + trimethoprim,"Erythromycin stearat tương đương Erythromycin base 125 mg, Sulfamethoxazol 200 mg, Trimethoprim 40 mg",1.01,Uống,125 mg; 200 mg; 40 mg,hộp 25 gói x 3 gam cốm pha hỗn dịch,Công ty cổ phần dược trung ương Mediplantex.,Việt Nam
50,VD-25123-16,Agiroxi 150,40.222,Erythromycin,Roxithromycin ,1.01,Uống,150mg,Hộp 10 vỉ x 10 viên,Chi nhánh công ty cổ phần dược phẩm Agimexpharm- Nhà máy sản xuất dược phẩm Agimexpharm,Việt Nam
51,VD-17130-12,Roxithromycin 150mg,40.222,Erythromycin,Roxithromycin ,1.01,Uống,150mg,"Hộp 1 vỉ x 10 viên nén, hộp 10 vỉ x 10 viên nén",Công ty cổ phần hoá dược phẩm Mekophar,Việt Nam
52,VD-16397-12,Ruxict,40.222,Erythromycin,Roxithromycin ,1.01,Uống,150mg,Hộp 1 vỉ x 10 viên nén,Công ty cổ phần dược phẩm Khánh Hoà,Việt Nam
53,VD-18432-13,Vaco Sulfa- B,40.237,Natri Sulfacetamid + methylthionin clorid,Natri sulfacetamid; Xanh methylen,1.01,Uống,1g/10ml; 0.2mg/10ml                                                                                                                                                                                                                                                 ,Hộp 1 chai 10ml dung dịch nhỏ mắt,Công ty cổ phần dược phẩm Vacopharm,Việt Nam
54,QLĐB-380-13,Adefovir meyer,40.261,Adefovir dipivoxil,Adefovir dipivoxil ,1.01,Uống,10 mg,Hộp 3 vỉ x 10 viên,Công ty Liên doanh Meyer - BPC.,Việt Nam
55,QLĐB-401-13,Ambihep,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10 mg,"Hộp 1 vỉ, 3 vỉ, 10 vỉ x 10 viên",Công ty cổ phần dược phẩm Ampharco U.S.A,Việt Nam
56,QLĐB-446-14,Dostem 10 mg,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,"Hộp 3 vỉ, 6 vỉ, 10 vỉ x 10 viên; chai 30 viên, 60 viên, 100 viên",Công ty cổ phần sản xuất -  thương mại Dược phẩm Đông Nam,Việt Nam
57,QLĐB-454-14,SaVi Adefovir 10,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10 mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm SaVi,Việt Nam
58,QLĐB-463-14,Adefovir AL 10 mg,40.261,Adefovir dipivoxil,Adefovir dipivoxil ,1.01,Uống,10 mg,"Hộp 3 vỉ x 10 viên, hộp 1 chai 30 viên nén",Công ty TNHH LD Stada-Việt Nam.,Việt Nam
59,VD-12596-10,Adefovir Stada 10 mg,40.261,Adefovir dipivoxil,Adefovir dipivoxil ,1.01,Uống,10 mg,"Hộp 3 vỉ x 10 viên, hộp 1 chai 30 viên nén",Công ty LD TNHH Stada - Việt Nam,Việt Nam
60,VD-15034-11,Afovixtab,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10 mg,Hộp 3 vỉ x 10 viên nén,Công ty cổ phần Pymepharco,Việt Nam
61,VD-17514-12,Fudall 10 mg,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10 mg,"hộp 3 vỉ, 6 vỉ, 10 vỉ x 10 viên, chai 30 viên, 60 viên, 100 viên",Công ty cổ phần Dược phẩm Phương Đông,Việt Nam
62,VD-17748-12,Vadara,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 4 vỉ x 7 viên; hộp 2 vỉ x 14 viên; hộp 3 vỉ x 10 viên,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
63,VD-18373-13,Nafasera,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm trung ương VIDIPHA,Việt Nam
64,VD-18476-13,Doadefo 10 mg,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10 mg,"Hộp 3, 6, 10 vỉ x 10 viên; Hộp 30, 60, 100 viên",Công ty cổ phần sản xuất -  thương mại Dược phẩm Đông Nam,Việt Nam
65,VD-18513-13,Levirix,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3 vỉ x 10 viên,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
66,VD-18519-13,Virzaf,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 4 vỉ x 7 viên,Công ty TNHH dược phẩm Đạt Vi Phú,Việt Nam
67,VD-9763-09,Meyerfovir,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,hộp 3 vỉ mỗi vỉ 10 viên nang; hộp 1 chai 30 viên nang,Công ty liên doanh Meyer - BPC,Việt Nam
68,VN-17413-13,Gomrusa,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 1 chai 30 viên,Daewoong Bio Inc,Korea
69,VN2-97-13,Ilfola Unfilm-Coated Tablet,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3 vỉ x 10 viên,"Kyung Dong Pharm Co., Ltd.",Korea
70,VN2-98-13,Peliva tablet,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 1 lọ 30 viên,"Samjin Pharmaceutical Co., Ltd.",Korea
71,VN-6408-08,Nufexil-10,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3vỉ x 10viên,Systa Labs.,India
72,VN-7960-09,Viriban 10,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3 vỉ 10 viên,Altomega Drugs Pvt. Ltd,India
73,VN-8995-09,Viradif 10,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3 vỉ x 10 viên,"Delta Generic Formulation Pvt., Ltd.",India
74,QLĐB-543-16,Idozaxi,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3 vỉ x 10 viên,Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
75,VD-24495-16,Adefovir meyer,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3 vỉ x 10 viên,Công ty Liên doanh Meyer - BPC.,Việt Nam
76,VN-19657-16,Hepsera,40.261,Adefovir dipivoxil,Adefovir dipivoxil ,1.01,Uống,10mg,Hộp 1 lọ 30 viên,"GlaxoSmithKline (Tianjin) Co., Ltd",China
77,VN2-466-16,Hepxa,40.261,Adefovir dipivoxil,Adefovir dipivoxil,1.01,Uống,10mg,Hộp 3 vỉ x 10 viên,Korea United Pharm. Inc.,Korea
78,VD-25027-16,Adefovir Stada 10 mg,40.261,Adefovir dipivoxil,Adefovir dipivoxil  ,1.01,Uống,10mg,"Hộp 3 vỉ x 10 viên, hộp 1 chai 30 viên",Chi nhánh Công ty TNHH LD Stada-Việt Nam,Việt Nam
79,VD-24719-16,Ambihep,40.261,Adefovir dipivoxil,Adefovir dipivoxil  ,1.01,Uống,10mg,Hộp 1 vỉ x 10 viên; Hộp 3 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,Công ty cổ phần dược phẩm Ampharco U.S.A,Việt Nam
80,QLĐB-571-16,Adefovir A.T,40.261,Adefovir dipivoxil,Adefovir dipivoxil ,1.01,Uống,10mg,"Hộp 2 vỉ, hộp 3 vỉ, hộp 5 vỉ, hộp 10 vỉ x 10 viên. Hộp 1 chai 30 viên, hộp 1 chai 60 viên, hộp 1 chai 100 viên",Công ty Cổ phần Dược phẩm An Thiên,Việt Nam
81,VD-28303-17,Pymefovir,40.261,"Adefovir dipivoxil
",Adefovir dipivoxil 10mg,1.01,Uống,10mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần Pymepharco,Việt Nam
82,VN2-641-17,Hepfovir tablets,40.261,"Adefovir dipivoxil
",Adefovir dipivoxil 10mg,1.01,Uống,10mg,Hộp 1 vỉ x 10 viên,Incepta Pharlaceutical Ltd,Bangladesh
83,VD-14850-11,Didanosine Stada 100 mg,40.262,Didanosin (ddl),Didanosin,1.01,Uống,100 mg,Hộp 1 chai 30 viên nén nhai,Công ty LD TNHH Stada - Việt Nam,Việt Nam
84,VN-14737-12,Didanosine 250mg,40.262,Didanosin (ddl),Didanosine,1.01,Uống,250mg,Chai 30 viên,Matrix Laboratories Ltd.,India
85,VN-14738-12,Didanosine 400mg,40.262,Didanosin (ddl),Didanosine,1.01,Uống,400mg,Chai 30 viên,Matrix Laboratories Ltd.,India
86,VD-9051-09,Indinavir Stada 400 mg,40.266,Indinavir (NFV),Indinavir sulfat,1.01,Uống,400 mg,"hộp 3 vỉ, 6 vỉ x 10 viên, hộp 1 chai 30 viên, 60 viên nang",Công ty liên doanh TNHH Stada Việt Nam,Việt Nam
87,VD-14018-11,Feronsure,40.267,Interferon (alpha)*,Recombinant Human Interferon alfa-2a 3M.I.U,2.10,Tiêm,3 MIU,"Hộp 1 bơm tiêm đóng sẵn thuốc 0,5ml dung dịch tiêm, Hộp 6 bơm tiêm đóng sẵn thuốc 0,5ml dung dịch tiêm, Hộp 12 bơm tiêm đóng sẵn thuốc 0,5ml dung dịch tiêm",Công ty TNHH Công nghệ sinh học dược Na No Gen,Việt Nam
88,VN-10478-10,Gentef 3 MIU Injection,40.267,Interferon (alpha)*,rh Interferon alfa 2b,2.10,Tiêm,3MIU,Hộp 1 xylanh,"Beijing Kawin Bio-Tech Co., Ltd",China
89,VN-10833-10,Blauferon A,40.267,Interferon (alpha)*,Interferon alpha 2a,2.10,Tiêm,"4,5 M.I.U.",Hộp 1 lọ & 1 ống dung môi 1ml,Blausiegel Industria e Comercio Ltda,Brazil
90,VN-10939-10,Reaferonum,40.267,Interferon (alpha)*,Recombinant human interferon alpha 2b,2.10,Tiêm,3MIU,Hộp 1 lọ,"Harbin Pharmaceutical Group Bioengineering Co., Ltd.",China
91,VN-9476-10,Blauferon B,40.267,Interferon (alpha)*,Interferon alpha 2b,2.10,Tiêm,3MIU/ lọ,Hộp 1 lọ và 1 ống dung môi 1ml,Blausiegel Industria e Comercio Ltda,Brazil
92,VN-9730-10,Inalfab- solution for injection 3MIU/ml,40.267,Interferon (alpha)*,Recombinant Interferon alfa 2b,2.10,Tiêm,3MIU/ ml,Hộp 1 bơm tiêm chứa 1ml,Intas Biopharmaceuticals Ltd.,India
